"bNumber"	"gene"	"function"
"b0387"	"yaiI"	"conserved protein"
"b0388"	"aroL"	"shikimate kinase II"
"b0389"	"yaiA"	"predicted protein"
"b0390"	"aroM"	"conserved protein"
"b0391"	"yaiE"	"conserved protein"
"b0392"	"ykiA"	"predicted protein"
"b0393"	"rdgC"	"DNA-binding protein, non-specific"
"b0394"	"mak"	"manno(fructo)kinase"
"b0396"	"araJ"	"predicted transporter"
"b0397"	"sbcC"	"exonuclease, dsDNA, ATP-dependent"
"b0398"	"sbcD"	"exonuclease, dsDNA, ATP-dependent"
"b0399"	"phoB"	"DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)"
"b0400"	"phoR"	"sensory histidine kinase in two-component regulatory system with PhoB"
"b0401"	"brnQ"	"predicted branched chain amino acid transporter (LIV-II)"
"b0402"	"proY"	"predicted cryptic proline transporter"
"b0403"	"malZ"	"maltodextrin glucosidase"
"b0404"	"acpH"	"acyl carrier protein (ACP) phosphodiesterase"
"b0405"	"queA"	"S-adenosylmethionine:tRNA ribosyltransferase-isomerase"
"b0406"	"tgt"	"tRNA-guanine transglycosylase"
"b0407"	"yajC"	"SecYEG protein translocase auxillary subunit"
"b0408"	"secD"	"SecYEG protein translocase auxillary subunit"
"b0409"	"secF"	"SecYEG protein translocase auxillary subunit"
"b0410"	"yajD"	"conserved protein"
"b0411"	"tsx"	"nucleoside channel, receptor of phage T6 and colicin K"
"b0412"	"yajI"	"predicted lipoprotein"
"b0413"	"nrdR"	"ribonucleotide reductase transcriptional regulator"
"b0414"	"ribD"	"fused diaminohydroxyphosphoribosylaminopyrimidine deaminase -!- 5-amino-6-(5-phosphoribosylamino) uracil reductase"
"b0415"	"ribE"	"riboflavin synthase beta chain"
"b0416"	"nusB"	"transcription antitermination protein"
"b0417"	"thiL"	"thiamin-monophosphate kinase"
"b0418"	"pgpA"	"phosphatidylglycerophosphatase A"
"b0419"	"yajO"	"predicted oxidoreductase, NAD(P)-binding"
"b0420"	"dxs"	"1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring"
"b0421"	"ispA"	"geranyltranstransferase"
"b0422"	"xseB"	"exonuclease VII small subunit"
"b0423"	"thiI"	"sulfurtransferase required for thiamine and 4-thiouridine biosynthesis"
"b0424"	"yajL"	"conserved protein"
"b0425"	"panE"	"2-dehydropantoate reductase, NADPH-specific"
"b0426"	"yajQ"	"predicted nucleotide binding protein"
"b0427"	"yajR"	"predicted transporter"
"b0428"	"cyoE"	"protoheme IX farnesyltransferase"
"b0429"	"cyoD"	"cytochrome o ubiquinol oxidase subunit IV"
"b0430"	"cyoC"	"cytochrome o ubiquinol oxidase subunit III"
"b0431"	"cyoB"	"cytochrome o ubiquinol oxidase subunit I"
"b0432"	"cyoA"	"cytochrome o ubiquinol oxidase subunit II"
"b0433"	"ampG"	"muropeptide transporter"
"b0434"	"yajG"	"predicted lipoprotein"
"b0435"	"bolA"	"regulator of penicillin binding proteins and beta lactamase transcription (morphogene)"
"b0436"	"tig"	"peptidyl-prolyl cis/trans isomerase (trigger factor)"
"b0437"	"clpP"	"proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases"
"b0438"	"clpX"	"ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease"
"b0439"	"lon"	"DNA-binding ATP-dependent protease La"
"b0440"	"hupB"	"HU, DNA-binding transcriptional regulator, beta subunit"
"b0441"	"ppiD"	"peptidyl-prolyl cis-trans isomerase (rotamase D)"
"b0442"	"ybaV"	"conserved protein"
"b0443"	"ybaW"	"conserved protein"
"b0444"	"queC"	"predicted aluminum resistance protein"
"b0445"	"ybaE"	"predicted transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0446"	"cof"	"thiamin pyrimidine pyrophosphate hydrolase"
"b0447"	"ybaO"	"predicted DNA-binding transcriptional regulator"
"b0448"	"mdlA"	"fused predicted multidrug transporter subunits -!- ATP-binding components of ABC superfamily"
"b0449"	"mdlB"	"fused predicted multidrug transporter subunits -!- ATP binding components of ABC superfamily"
"b0450"	"glnK"	"nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB"
"b0451"	"amtB"	"ammonium transporter"
"b0452"	"tesB"	"acyl-CoA thioesterase II"
"b0453"	"ybaY"	"predicted outer membrane lipoprotein"
"b0454"	"ybaZ"	"predicted methyltransferase"
"b0455"	"ffs"	"4.5S RNA"
"b0456"	"ybaA"	"conserved protein"
"b0457"	"ylaB"	"conserved inner membrane protein"
"b0458"	"ylaC"	"predicted inner membrane protein"
"b0459"	"maa"	"maltose O-acetyltransferase"
"b0460"	"hha"	"modulator of gene expression, with H-NS"
"b0461"	"ybaJ"	"predicted protein"
"b0462"	"acrB"	"multidrug efflux system protein"
"b0463"	"acrA"	"multidrug efflux system"
"b0464"	"acrR"	"DNA-binding transcriptional regulator"
"b0465"	"kefA"	"fused mechanosensitive channel proteins"
"b0466"	"ybaM"	"predicted protein"
"b0467"	"priC"	"primosomal replication protein N''"
"b0468"	"ybaN"	"conserved inner membrane protein"
"b0469"	"apt"	"adenine phosphoribosyltransferase"
"b0470"	"dnaX"	"DNA polymerase III/DNA elongation factor III, tau and gamma subunits"
"b0471"	"ybaB"	"conserved protein"
"b0472"	"recR"	"gap repair protein"
"b0473"	"htpG"	"molecular chaperone HSP90 family"
"b0474"	"adk"	"adenylate kinase"
"b0475"	"hemH"	"ferrochelatase"
"b0476"	"aes"	"acetyl esterase"
"b0477"	"gsk"	"inosine/guanosine kinase"
"b0478"	"ybaL"	"predicted transporter with NAD(P)-binding Rossmann-fold domain"
"b0479"	"fsr"	"predicted fosmidomycin efflux system"
"b0480"	"ushA"	"bifunctional UDP-sugar hydrolase -!- 5'-nucleotidase"
"b0481"	"ybaK"	"bifunctional cys-tRNAPro deacetylase -!- cys-tRNA Cys deacylase"
"b0482"	"ybaP"	"conserved protein"
"b0483"	"ybaQ"	"predicted DNA-binding transcriptional regulator"
"b0484"	"copA"	"copper transporter"
"b0485"	"ybaS"	"predicted glutaminase"
"b0486"	"ybaT"	"predicted transporter"
"b0487"	"cueR"	"DNA-binding transcriptional activator"
"b0488"	"ybbJ"	"conserved inner membrane protein"
"b0489"	"qmcA"	"predicted protease, membrane anchored"
"b0490"	"ybbL"	"predicted transporter subunit -!- ATP-binding component of ABC superfamily"
"b0491"	"ybbM"	"predicted inner membrane protein"
"b0492"	"ybbN"	"predicted thioredoxin domain-containing protein"
"b0493"	"ybbO"	"predicted oxidoreductase with NAD(P)-binding domain"
"b0494"	"tesA"	"multifunctional acyl-CoA thioesterase I -!- protease I -!- lysophospholipase L1"
"b0495"	"ybbA"	"predicted transporter subunit -!- ATP-binding component of ABC superfamily"
"b0496"	"ybbP"	"predicted inner membrane protein"
"b0497"	"rhsD"	"rhsD element protein"
"b0498"	"ybbC"	"predicted protein"
"b0499"	"ylbH"	"conserved protein, rhs-like"
"b0500"	"ybbD"	"predicted protein"
"b0502"	"ylbG"	"predicted DNA-binding transcriptional regulator"
"b0503"	"ybbB"	"tRNA 2-selenouridine synthase, selenophosphate-dependent"
"b0504"	"ybbS"	"transcriptional activator of the allD operon"
"b0505"	"allA"	"ureidoglycolate hydrolase"
"b0506"	"allR"	"DNA-binding transcriptional regulator"
"b0507"	"gcl"	"glyoxylate carboligase"
"b0508"	"hyi"	"hydroxypyruvate isomerase"
"b0509"	"glxR"	"tartronate semialdehyde reductase, NADH-dependent"
"b0510"	"ybbV"	"predicted protein"
"b0511"	"ybbW"	"predicted allantoin transporter"
"b0512"	"allB"	"allantoinase"
"b0513"	"ybbY"	"predicted uracil/xanthine transporter"
"b0514"	"glxK"	"glycerate kinase II"
"b0515"	"ylbA"	"conserved protein"
"b0516"	"allC"	"allantoate amidohydrolase"
"b0517"	"allD"	"ureidoglycolate dehydrogenase"
"b0518"	"fdrA"	"predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain"
"b0519"	"ylbE_2"	"predicted protein, C-ter fragment (pseudogene)"
"b4507"	"ylbE_1"	"predicted protein, N-ter fragment (pseudogene)"
"b4572"	"ylbE"	"predicted protein (pseudogene)"
"b0520"	"ylbF"	"conserved protein"
"b0521"	"ybcF"	"predicted carbamate kinase"
"b0522"	"purK"	"N5-carboxyaminoimidazole ribonucleotide synthase"
"b0523"	"purE"	"N5-carboxyaminoimidazole ribonucleotide mutase"
"b0524"	"lpxH"	"UDP-2,3-diacylglucosamine pyrophosphatase"
"b0525"	"ppiB"	"peptidyl-prolyl cis-trans isomerase B (rotamase B)"
"b0526"	"cysS"	"cysteinyl-tRNA synthetase"
"b0527"	"ybcI"	"conserved inner membrane protein"
"b0528"	"ybcJ"	"predicted RNA-binding protein"
"b0529"	"folD"	"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase -!- 5,10-methylene-tetrahydrofolate cyclohydrolase"
"b0530"	"sfmA"	"predicted fimbrial-like adhesin protein"
"b0531"	"sfmC"	"pilin chaperone, periplasmic"
"b0532"	"sfmD"	"predicted outer membrane export usher protein"
"b0533"	"sfmH"	"predicted fimbrial-like adhesin protein"
"b0534"	"sfmF"	"predicted fimbrial-like adhesin protein"
"b0535"	"fimZ"	"predicted DNA-binding transcriptional regulator"
"b0536"	"argU"	"tRNA-Arg(UCU) (Arginine tRNA4)"
"b0537"	"intD"	"DLP12 prophage; predicted integrase"
"b0539"	"ybcC"	"DLP12 prophage; predicted exonuclease"
"b4508"	"ybcD"	"DLP12 prophage; predicted replication protein fragment (pseudogene)"
"b0542"	"renD"	"DLP12 prophage; predicted protein"
"b0543"	"emrE"	"DLP12 prophage; multidrug resistance protein"
"b0544"	"ybcK"	"DLP12 prophage; predicted recombinase"
"b0545"	"ybcL"	"DLP12 prophage; predicted kinase inhibitor"
"b0546"	"ybcM"	"DLP12 prophage; predicted DNA-binding transcriptional regulator"
"b0547"	"ybcN"	"DLP12 prophage; predicted protein"
"b0548"	"ninE"	"DLP12 prophage; conserved protein"
"b0549"	"ybcO"	"DLP12 prophage; predicted protein"
"b0550"	"rusA"	"DLP12 prophage; endonuclease RUS"
"b4509"	"ylcG"	"DLP12 prophage; predicted protein"
"b0551"	"ybcQ"	"DLP12 prophage; predicted antitermination protein"
"b0553"	"nmpC"	"DLP12 prophage; truncated outer membrane porin (pseudogene)"
"b0554"	"essD"	"DLP12 prophage; predicted phage lysis protein"
"b0555"	"ybcS"	"DLP12 prophage; predicted lysozyme"
"b0556"	"rzpD"	"DLP12 prophage; predicted murein endopeptidase"
"b4510"	"rzoD"	"DLP12 prophage; predicted lipoprotein"
"b0557"	"borD"	"DLP12 prophage; predicted lipoprotein"
"b0558"	"ybcV"	"DLP12 prophage; predicted protein"
"b0559"	"ybcW"	"DLP12 prophage; predicted protein"
"b0560"	"nohB"	"DLP12 prophage; DNA packaging protein"
"b0561"	"tfaD"	"DLP12 prophage; predicted tail fiber assembly protein (pseudogene)"
"b0562"	"ybcY"	"DLP12 prophage; predicted SAM-dependent methyltransferase"
"b0563"	"ylcE"	"DLP12 prophage; predicted protein"
"b0564"	"appY"	"DLP12 prophage; DNA-binding transcriptional activator"
"b0565"	"ompT"	"DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)"
"b0566"	"envY"	"DNA-binding transcriptional activator"
"b0567"	"ybcH"	"predicted protein"
"b0568"	"nfrA"	"bacteriophage N4 receptor, outer membrane subunit"
"b0569"	"nfrB"	"bacteriophage N4 receptor, inner membrane subunit"
"b0570"	"cusS"	"sensory histidine kinase in two-component regulatory system with CusR, senses copper ions"
"b0571"	"cusR"	"DNA-binding response regulator in two-component regulatory system with CusS"
"b0572"	"cusC"	"copper/silver efflux system, outer membrane component"
"b0573"	"cusF"	"periplasmic metal-resistance protein, Cu(I) and Ag(I) binding"
"b0574"	"cusB"	"copper/silver efflux system, membrane fusion protein"
"b0575"	"cusA"	"copper/silver efflux system, membrane component"
"b0576"	"pheP"	"phenylalanine transporter"
"b0577"	"ybdG"	"predicted mechanosensitive channel"
"b0578"	"nfnB"	"dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive"
"b0579"	"ybdF"	"conserved protein"
"b0580"	"ybdJ"	"predicted inner membrane protein"
"b0581"	"ybdK"	"gamma-glutamyl:cysteine ligase"
"b4415"	"hokE"	"toxic polypeptide, small"
"b0583"	"entD"	"phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex"
"b0584"	"fepA"	"iron-enterobactin outer membrane transporter"
"b0585"	"fes"	"enterobactin/ferric enterobactin esterase"
"b4511"	"ybdZ"	"conserved protein"
"b0586"	"entF"	"enterobactin synthase multienzyme complex component,  ATP-dependent"
"b0587"	"fepE"	"regulator of length of O-antigen component of lipopolysaccharide chains"
"b0588"	"fepC"	"iron-enterobactin transporter subunit -!- ATP-binding component of ABC superfamily"
"b0589"	"fepG"	"iron-enterobactin transporter subunit -!- membrane component of ABC superfamily"
"b0590"	"fepD"	"iron-enterobactin transporter subunit -!- membrane component of ABC superfamily"
"b0591"	"ybdA"	"predicted transporter"
"b0592"	"fepB"	"iron-enterobactin transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0593"	"entC"	"isochorismate synthase 1"
"b0594"	"entE"	"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex"
"b0595"	"entB"	"isochorismatase"
"b0596"	"entA"	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase, NADH-dependent"
"b0597"	"entH"	"thioesterase involved in enterobactin biosynthesis"
"b0598"	"cstA"	"carbon starvation protein"
"b4512"	"ybdD"	"conserved protein"
"b0599"	"ybdH"	"predicted oxidoreductase"
"b0600"	"ybdL"	"methionine aminotransferase, PLP-dependent"
"b0601"	"ybdM"	"conserved protein"
"b0602"	"ybdN"	"conserved protein"
"b0603"	"ybdO"	"predicted DNA-binding transcriptional regulator"
"b0604"	"dsbG"	"periplasmic disulfide isomerase/thiol-disulphide oxidase"
"b0605"	"ahpC"	"alkyl hydroperoxide reductase, C22 subunit"
"b0606"	"ahpF"	"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding"
"b0607"	"uspG"	"universal stress protein UP12"
"b0608"	"ybdR"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
"b0610"	"rnk"	"regulator of nucleoside diphosphate kinase"
"b0611"	"rna"	"ribonuclease I"
"b0612"	"citT"	"citrate:succinate antiporter"
"b0613"	"citG"	"triphosphoribosyl-dephospho-CoA transferase"
"b0614"	"citX"	"apo-citrate lyase phosphoribosyl-dephospho-CoA transferase"
"b0615"	"citF"	"citrate lyase, citrate-ACP transferase (alpha) subunit"
"b0616"	"citE"	"citrate lyase, citryl-ACP lyase (beta) subunit"
"b0617"	"citD"	"citrate lyase, acyl carrier (gamma) subunit"
"b0618"	"citC"	"citrate lyase synthetase"
"b0619"	"citA"	"sensory histidine kinase in two-component regulatory system with citB"
"b0620"	"citB"	"DNA-binding response regulator in two-component regulatory system with citA"
"b0621"	"dcuC"	"anaerobic C4-dicarboxylate transport"
"b0622"	"crcA"	"palmitoyl transferase for Lipid A"
"b0623"	"cspE"	"DNA-binding transcriptional repressor"
"b0624"	"crcB"	"predicted inner membrane protein associated with chromosome condensation"
"b0625"	"ybeH"	"predicted protein"
"b0626"	"ybeM"	"predicted C-N hydrolase superfamily, NAD(P)-binding amidase/nitrilase"
"b0627"	"tatE"	"TatABCE protein translocation system subunit"
"b0628"	"lipA"	"lipoate synthase"
"b0629"	"ybeF"	"predicted DNA-binding transcriptional regulator"
"b0630"	"lipB"	"lipoyl-(octanoyl)transferase"
"b0631"	"ybeD"	"conserved protein"
"b0632"	"dacA"	"D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)"
"b0633"	"rlpA"	"minor lipoprotein"
"b0634"	"mrdB"	"cell wall shape-determining protein"
"b0635"	"mrdA"	"transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2)"
"b0636"	"ybeA"	"conserved protein"
"b0637"	"ybeB"	"predicted protein"
"b0638"	"cobC"	"predicted alpha-ribazole-5'-P phosphatase"
"b0639"	"nadD"	"nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent"
"b0640"	"holA"	"DNA polymerase III, delta subunit"
"b0641"	"rlpB"	"minor lipoprotein"
"b0642"	"leuS"	"leucyl-tRNA synthetase"
"b0643"	"ybeL"	"conserved protein"
"b0644"	"ybeQ"	"conserved protein"
"b0645"	"ybeR"	"predicted protein"
"b0646"	"djlB"	"predicted chaperone"
"b0647"	"ybeT"	"conserved outer membrane protein"
"b0648"	"ybeU"	"predicted tRNA ligase"
"b0649"	"djlC"	"Hsc56 co-chaperone of HscC"
"b0650"	"hscC"	"Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription"
"b0651"	"rihA"	"ribonucleoside hydrolase 1"
"b0652"	"gltL"	"glutamate and aspartate transporter subunit -!- ATP-binding component of ABC superfamily"
"b0653"	"gltK"	"glutamate and aspartate transporter subunit -!- membrane component of ABC superfamily"
"b0654"	"gltJ"	"glutamate and aspartate transporter subunit -!- membrane component of ABC superfamily"
"b0655"	"gltI"	"glutamate and aspartate transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0657"	"lnt"	"apolipoprotein N-acyltransferase"
"b0658"	"ybeX"	"predicteed ion transport"
"b0659"	"ybeY"	"conserved metalloprotein"
"b0660"	"ybeZ"	"predicted protein with nucleoside triphosphate hydrolase domain"
"b0661"	"miaB"	"isopentenyl-adenosine A37 tRNA methylthiolase"
"b0662"	"ubiF"	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol oxygenase"
"b0664"	"glnX"	"tRNA-Gln(CUG) (Glutamine tRNA2)"
"b0665"	"glnV"	"tRNA-Gln(CUG) (Glutamine tRNA2)"
"b0666"	"metU"	"tRNA-Met(CAU) (Methionine tRNAm)"
"b0668"	"glnW"	"tRNA-Gln(UUG) (Glutamine tRNA1)"
"b0670"	"glnU"	"tRNA-Gln(UUG) (Glutamine tRNA1)"
"b0672"	"leuW"	"tRNA-Leu(UAG) (Leucine tRNA3)"
"b0673"	"metT"	"tRNA-Met(CAU) (Methionine tRNAm)"
"b0674"	"asnB"	"asparagine synthetase B"
"b0675"	"nagD"	"UMP phosphatase"
"b0676"	"nagC"	"DNA-binding transcriptional dual regulator"
"b0677"	"nagA"	"N-acetylglucosamine-6-phosphate deacetylase"
"b0678"	"nagB"	"glucosamine-6-phosphate deaminase"
"b0679"	"nagE"	"fused N-acetyl glucosamine specific PTS enzyme IICBA components"
"b0680"	"glnS"	"glutamyl-tRNA synthetase"
"b0681"	"ybfM"	"predicted outer membrane porin"
"b0682"	"ybfN"	"predicted lipoprotein"
"b0683"	"fur"	"DNA-binding transcriptional dual regulator"
"b0684"	"fldA"	"flavodoxin 1"
"b0685"	"ybfE"	"LexA regulated protein"
"b0686"	"ybfF"	"conserved protein"
"b0687"	"seqA"	"regulatory protein for replication initiation"
"b0688"	"pgm"	"phosphoglucomutase"
"b0689"	"ybfP"	"predicted protein"
"b0690"	"ybfG"	"predicted protein"
"b0691"	"ybfH"	"predicted protein"
"b0692"	"potE"	"putrescine/proton symporter -!- putrescine/ornithine antiporter"
"b0693"	"speF"	"ornithine decarboxylase isozyme, inducible"
"b0694"	"kdpE"	"DNA-binding response regulator in two-component regulatory system with KdpD"
"b0695"	"kdpD"	"fused sensory histidine kinase in two-component regulatory system with KdpE"
"b0696"	"kdpC"	"potassium translocating ATPase, subunit C"
"b0697"	"kdpB"	"potassium translocating ATPase, subunit B"
"b0698"	"kdpA"	"potassium translocating ATPase, subunit A"
"b4513"	"kdpF"	"potassium ion accessory transporter subunit"
"b0699"	"ybfA"	"predicted protein"
"b0700"	"rhsC"	"rhsC element core protein RshC"
"b0702"	"ybfB"	"predicted inner membrane protein"
"b0703"	"ybfO"	"conserved protein, rhs-like"
"b0704"	"ybfC"	"predicted protein"
"b4514"	"ybfQ"	"predicted transposase"
"b0705"	"ybfL"	"predicted transposase (pseudogene)"
"b0706"	"ybfD"	"conserved protein"
"b0707"	"ybgA"	"conserved protein"
"b0708"	"phr"	"deoxyribodipyrimidine photolyase, FAD-binding"
"b0709"	"ybgH"	"predicted transporter"
"b0710"	"ybgI"	"conserved metal-binding protein"
"b0711"	"ybgJ"	"predicted enzyme subunit"
"b0712"	"ybgK"	"predicted enzyme subunit"
"b0713"	"ybgL"	"predicted lactam utilization protein"
"b0714"	"nei"	"endonuclease VIII -!- 5-formyluracil/5-hydroxymethyluracil DNA glycosylase"
"b0715"	"abrB"	"predicted regulator"
"b0716"	"ybgO"	"predicted fimbrial-like adhesin protein"
"b0717"	"ybgP"	"predicted assembly protein"
"b0718"	"ybgQ"	"predicted outer membrane protein"
"b0719"	"ybgD"	"predicted fimbrial-like adhesin protein"
"b0720"	"gltA"	"citrate synthase"
"b0721"	"sdhC"	"succinate dehydrogenase, membrane subunit, binds cytochrome b556"
"b0722"	"sdhD"	"succinate dehydrogenase, membrane subunit, binds cytochrome b556"
"b0723"	"sdhA"	"succinate dehydrogenase, flavoprotein subunit"
"b0724"	"sdhB"	"succinate dehydrogenase, FeS subunit"
"b0726"	"sucA"	"2-oxoglutarate decarboxylase, thiamin-requiring"
"b0727"	"sucB"	"dihydrolipoyltranssuccinase"
"b0728"	"sucC"	"succinyl-CoA synthetase, beta subunit"
"b0729"	"sucD"	"succinyl-CoA synthetase, NAD(P)-binding, alpha subunit"
"b0730"	"mngR"	"DNA-binding transcriptional dual regulator, fatty-acyl-binding"
"b0731"	"mngA"	"fused 2-O-a-mannosyl-D-glycerate specific PTS enzyme IIABC components"
"b0732"	"mngB"	"alpha-mannosidase"
"b0733"	"cydA"	"cytochrome d terminal oxidase, subunit I"
"b0734"	"cydB"	"cytochrome d terminal oxidase, subunit II"
"b4515"	"ybgT"	"conserved protein"
"b0735"	"ybgE"	"conserved inner membrane protein"
"b0736"	"ybgC"	"predicted acyl-CoA thioesterase"
"b0737"	"tolQ"	"membrane spanning protein in TolA-TolQ-TolR complex"
"b0738"	"tolR"	"membrane spanning protein in TolA-TolQ-TolR complex"
"b0739"	"tolA"	"membrane anchored protein in TolA-TolQ-TolR complex"
"b0740"	"tolB"	"periplasmic protein"
